2014,Arizona Diamondbacks,500000,11000000,10500000
2015,Miami Marlins,507500,11000000,10492500
2015,Tampa Bay Rays,507500,11000000,10492500
2000,San Francisco Giants,200000,10658826,10458826
2004,Minnesota Twins,300000,10750000,10450000
2006,Minnesota Twins,327000,10750000,10423000
1999,Atlanta Braves,200000,10600000,10400000
2006,Arizona Diamondbacks,327000,10673328,10346328
2005,Oakland Athletics,316000,10571429,10255429
2005,Toronto Blue Jays,300000,10500000,10200000
2003,St. Louis Cardinals,300000,10500000,10200000
2011,Baltimore Orioles,417000,10600000,10183000
2011,Washington Nationals,414000,10571428,10157428
2006,Texas Rangers,327000,10472409,10145409
2006,Cincinnati Reds,327000,10464686,10137686
2007,Cincinnati Reds,380000,10500000,10120000
2001,San Francisco Giants,200000,10300000,10100000
2014,San Diego Padres,501200,10525000,10023800
2012,Colorado Rockies,480000,10500000,10020000
2014,Oakland Athletics,500000,10500000,10000000
1997,Chicago White Sox,150000,10000000,9850000
2003,Florida Marlins,165574,10000000,9834426
1998,Chicago White Sox,170000,10000000,9830000
2000,Toronto Blue Jays,200000,10000000,9800000
2001,Cleveland Indians,202000,10000000,9798000
2001,Chicago White Sox,200000,9927000,9727000
2002,Chicago White Sox,200000,9927000,9727000
2010,Tampa Bay Rays,402700,10125000,9722300
2013,New York Mets,480000,10192071,9712071
2006,Washington Nationals,327000,10000000,9673000
1999,New York Yankees,200000,9857143,9657143
2008,Pittsburgh Pirates,390000,10037283,9647283
2007,San Diego Padres,380000,10000000,9620000
2008,San Diego Padres,390000,10000000,9610000
2010,Florida Marlins,401000,10000000,9599000
2013,Arizona Diamondbacks,491000,10000000,9509000
1999,Arizona Diamondbacks,200000,9700000,9500000
2015,Houston Astros,511200,10000000,9488800
2007,Texas Rangers,381000,9836116,9455116
2002,Anaheim Angels,200000,9650000,9450000
1998,Atlanta Braves,170000,9600000,9430000
2013,Tampa Bay Rays,496500,9831954,9335454
2005,San Diego Padres,317000,9625000,9308000
2003,San Diego Padres,300000,9600000,9300000
2006,Milwaukee Brewers,329500,9625000,9295500
2005,Chicago Cubs,300000,9500000,9200000
1999,San Francisco Giants,200000,9381057,9181057
1999,St. Louis Cardinals,200000,9358667,9158667
2000,St. Louis Cardinals,202500,9333333,9130833
2000,Cincinnati Reds,200000,9329700,9129700
1996,Detroit Tigers,109000,9237500,9128500
1995,Detroit Tigers,109000,9237500,9128500
1997,New York Yankees,157000,9237500,9080500
2013,San Diego Padres,491300,9500000,9008700
2000,Tampa Bay Devil Rays,200000,9000000,8800000
1999,Chicago Cubs,200000,9000000,8800000
2002,Cincinnati Reds,200000,9000000,8800000
2001,Tampa Bay Devil Rays,200000,9000000,8800000
1998,St. Louis Cardinals,170000,8928354,8758354
1999,Texas Rangers,200000,8950000,8750000
1998,San Francisco Giants,170000,8916667,8746667
2007,Arizona Diamondbacks,380000,9100546,8720546
2003,Chicago White Sox,300000,9000000,8700000
2005,Minnesota Twins,316000,9000000,8684000
1999,Seattle Mariners,200000,8760532,8560532
2002,Tampa Bay Devil Rays,200000,8750000,8550000
2002,Minnesota Twins,200000,8750000,8550000
2004,Detroit Tigers,300000,8850000,8550000
2004,San Diego Padres,300000,8833333,8533333
2005,Detroit Tigers,318500,8850000,8531500
2003,Pittsburgh Pirates,312500,8833333,8520833
2012,Oakland Athletics,480000,9000000,8520000
1997,San Francisco Giants,150000,8666667,8516667
2003,Minnesota Twins,302500,8750000,8447500
2004,Milwaukee Brewers,300000,8737500,8437500
2005,Chicago White Sox,318000,8750000,8432000
2000,Texas Rangers,200000,8620921,8420921
2002,Philadelphia Phillies,200000,8600000,8400000
1999,Toronto Blue Jays,200000,8600000,8400000
1998,Toronto Blue Jays,170000,8550000,8380000
2007,Cleveland Indians,380100,8750000,8369900
1996,San Francisco Giants,109000,8416667,8307667
2004,Pittsburgh Pirates,300000,8571429,8271429
1997,Toronto Blue Jays,150000,8400000,8250000
1999,Colorado Rockies,200000,8442981,8242981
2013,Oakland Athletics,490000,8700000,8210000
2006,Pittsburgh Pirates,327000,8500000,8173000
1998,Chicago Cubs,170000,8325000,8155000
1998,New York Yankees,170000,8300000,8130000
2010,Arizona Diamondbacks,400000,8500000,8100000
1995,San Francisco Giants,109000,8166666,8057666
1999,Cleveland Indians,200000,8225000,8025000
2012,Kansas City Royals,480425,8500000,8019575
